MicrosigaPN;OraclePN;PT Description;NCM;IPI;PIS;COFINS;Fator 18;Fator 12;Fator 7;Fator 4
000001012550;1F1012550;MOLDE DE SOPRO CORPO SEP.AGUA BUS                 ;84807100;;;;;;;
000001012935;1F1012935;DISP.DE CORTE CORPO SEP. AGUA BUS                 ;84804100;;;;;;;
000001012936;1F1012936;DISP.CONTROLE CORPO SEP.AGUA BUS                  ;90318099;;;;;;;
000001012937;1F1012937;MOLDE DE SOPRO DUTO PLASTICO BUS                  ;84807100;;;;;;;
000001012938;1F1012938;DISP. CORTE DUTO PLASTICO BUS                     ;84804100;;;;;;;
000001012939;1F1012939;DISP. CONTROLE DUTO PLASTICO BUS                  ;90318099;;;;;;;
000001012940;1F1012940;MOLDE DE INJECAO                                  ;84807100;;;;;;;
000001012941;1F1012941;GAB. USINAGEM ELBOW COTOVELO PLAS                 ;82073000;;;;;;;
000001012942;1F1012942;CALIBRADOR ELBOW COTOVELO PLAST.                  ;90318099;;;;;;;
000001012943;1F1012943;GAB.USINAGEM 1 EXTENTION CORPO PVH                ;82073000;;;;;;;
000001012944;1F1012944;GAB. USINAGEM 1 EXTENTION CORPO PVH               ;82073000;;;;;;;
000001012945;1F1012945;DISP. CORTE DA CABECA EXTENTION CORPO PV          ;84804100;;;;;;;
000001012946;1F1012946;CALIBRADOR EXTENTION CORPO PVH                    ;90318099;;;;;;;
000001012955;1F1012955;MOLDE INJECAO MANGOTE BORRACHA                    ;84807100;;;;;;;
0066A0035;799916;ACW1275629 CONJUNTO FILTRO HIDRAULICO             ;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
0066A8672;not founded;FILTRO DE COMBUSTIVEL                             ;84212300;0,052;2,3;10,8;0,7126;0,7647;0,8082;0,8342
02041-09;1F02041-09;MANGUEIRA DE AR COM ENGATE RAPIDO                 ;40092290;;;;;;;
042-DXP;1F042-DXP;CILINDRO PNEUMATICO                               ;84123110;;;;;;;
060500-S60-DBLV;1F060500-S60-DBLV;ANEL DE VEDACAO DIN SILICONE 4 POL                ;40169300;;;;;;;
060500-S70-DBLV;1F060500-S70-DBLV;ANEL DE VEDACAO DIN SILICONE 5 POL                ;40169300;;;;;;;
060500-S80-DBLV;1F060500-S80-DBLV;ANEL DE VEDACAO DIN SILICONE 6 POL                ;40169300;;;;;;;
0792164;1F792164;MOLDE COM UMA CAVIDADE PARA ITEM 2034860          ;84807990;;;;;;;
0792165;1F792165;MOLDE COM UMA CAVIDADE PARA ITEM 2034861          ;84807990;;;;;;;
08041-20;1F08041-20;ABRACADEIRA COM APOIO                             ;73269090;0,05;1,65;7,6;0,7442;0,7986;0,844;0,8712
0855030;1F855030;FERRAM. INJECAO PLAST. CORPO TAMPA FAI            ;84807100;;;;;;;
0855031;1F855031;40169990;84807100;;;;;;;
0855032;1F855032;FERR.INJECAO PLAST. TAMPA SERV FAI                ;84807100;;;;;;;
0855033;1F0855033;GABARITO DE CONTROLE SCANIA FAI                   ;73269090;0,05;1,65;7,6;0,7442;0,7986;0,844;0,8712
1-001-5458;1F1-001-5458;VEDACAO DE VITON                                  ;40169300;;;;;;;
1-009-2847;1F1-009-2847;PLACA TRASEIRA BOMBA BARMAG 12CC                  ;73269090;0,05;1,65;7,6;0,7442;0,7986;0,844;0,8712
1-009-2889;1F1-009-2889;PLACA DE ACO PARA BOMBA DE ENGRENAGEN             ;84139190;;;;;;;
1-009-2905;1F1-009-2905;BOMBA DE ENGRENAGEM GMA21D-RML-110Z               ;84136011;;;;;;;
