MicrosigaPN;OraclePN;PT Description;NCM;IPI;PIS;COFINS;Fator 18;Fator 12;Fator 7;Fator 4
1FM-P607403-BODY;1FM-P607403-BODY;MOLDE CAV. ALUM. BODY P/ INJ. PLAST;84807100;;;;;;;
1F6000-58-01;1F6000-58-01;MOLDE DE INJECAO DE ALUMINIO - P577230;84804100;;;;;;;
1FD3513-115-50;1FD3513-115-50;CABO INDICADOR DE EXPLOSAO FIKE;90318099;;;;;;;
1FM-P607403-BODY;1FM-P607403-BODY;MOLDE CAV. ALUM. BODY P/ INJ. PLAST;84807100;;;;;;;
1F6000-58-01;1F6000-58-01;MOLDE DE INJECAO DE ALUMINIO - P577230;84804100;;;;;;;
1FD3513-115-50;1FD3513-115-50;CABO INDICADOR DE EXPLOSAO FIKE;90318099;;;;;;;
1FM-P607403-BODY;1FM-P607403-BODY;MOLDE CAV. ALUM. BODY P/ INJ. PLAST;84807100;;;;;;;
1F6000-76-34;1F6000-76-34;FERRAMENTAL DE BILLER PARA FABRICACAO  P943836;82073000;;;;;;;
1FD3513-115-50;1FD3513-115-50;CABO INDICADOR DE EXPLOSAO FIKE;90318099;;;;;;;
1F6000-76-34;1F6000-76-34;FERRAMENTAL DE BILLER PARA FABRICACAO  P943836;82073000;;;;;;;
1F6000-76-34;1F6000-76-34;FERRAMENTAL DE BILLER PARA FABRICACAO  P943836;82073000;;;;;;;
1F6000-58-01;1F6000-58-01;MOLDE DE INJECAO DE ALUMINIO - P577230;84804100;;;;;;;
1FD3513-115-50;1FD3513-115-50;CABO INDICADOR DE EXPLOSAO FIKE;90318099;;;;;;;
1FM-P607403-BODY;1FM-P607403-BODY;MOLDE CAV. ALUM. BODY P/ INJ. PLAST;84807100;;;;;;;
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK030602-004-460;1FK030602-004-460;837086172 PRE FILTRO DE OLEO DIESEL;84212300;0,052;2,3;10,8;0,7126;0,7647;0,8082;0,8342
1F02041-09;1F02041-09;MANGUEIRA DE AR COM ENGATE RAPIDO;40092290;;;;;;;
1F042-DXP;1F042-DXP;CILINDRO PNEUMATICO;84123110;;;;;;;
P115097-016-700;P115097-016-700;ANEL DE VEDACAO OD 407MM;40169300;;;;;;;
P115097-016-700;P115097-016-700;ANEL DE VEDACAO OD 407MM;40169300;;;;;;;
P115097-016-700;P115097-016-700;ANEL DE VEDACAO OD 407MM;40169300;;;;;;;
