ORGANIZATION_CODE;COD_ITEM;DESCRICAO;DESCRICAO_US;Transaction Condition Class;Item Origin;NCM;Item Fiscal Type;Federal Tributary Situation;State Tributary Situation;Inventory Item Application;CEST;Alphanumeric Barcode;Service Code;GLOBAL_ATTRIBUTE12;Global Trade Item Number;EX Code;Income Nature Indicator;Import Content;Foreign Portion Value;GLOBAL_ATTRIBUTE18;Import Content Form Number;Service Nomenclature Code;Reinf Service Classfication;Reinf Service Code;INCOME_NATURE_CODE;UNIT_WEIGHT;SALES_ACC;ITEM_TYPE
223;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;DALAMATIC DUST COLLECTOR DLMC 3-7-15;FINISHED GOODS;0;84213990;04;99;90;INV;;;;;;;;;;;;;;;;16;709.372999.311111.99.99.999.99999.99999;Configured Item
223;1C124372;ELEMENTO SRF, 15/3, UF, 0.2 MIC, SILICONE;ELEMENT, SRF, 15/3, UF THREAD, 0.2 MIC, SILICONE;RESALE_IMP;1;84213990;04;00;00;INV;;;;;;;;;;;;;;;;1,4061;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P034303-016-436;ELEMENTO FILTRANTE PARA GASES IND;"DFE ULTRA-WEB FR CARTRIDGE (349 MM X 349MM) OD X 660 MM L, (13.74"" X 13.74"") OD X 26.00"" L";RESALE_IMP;1;84213990;00;99;90;INV;0109500;;;;0;;;0;0;;0;;;;;15,35;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P034305-016-436;ELEMENTO FILTRNTE DFEP6;"DFE ULTRA-WEB SS CARTRIDGE (349 MM X 349 MM) OD X 660 MM L (13.74"" X 13.74"") OD X 26"" L)";RAW MATERIAL;1;84213990;99;99;90;INV;0109500;;;;0;;;0;0;;0;;;;;9,6;709.223999.310110.99.99.999.99999.99999;Intercompany Item
223;P034306-016-431;ELEMENTO FILTRANTE PARA GASES IND;"DFE FIBRA-WEB CARTRIDGE (349 MM X 349 MM) OD X 660 MM L (13.74"" X 13.74"") OD X 26"" L)";RESALE_IMP;1;84213990;00;99;90;INV;0109500;;;;0;;;0;0;;0;;;;;10,8;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P034308-016-429;ELEMENTO FILTRANTE PARA GASES IND.;"DFE THERMO-WEB CARTRIDGE (349 MM X 349 MM) OD X 660 MM L (13.74"" X 13.74"") OD X 26"" L)";RESALE_IMP;1;84213990;00;99;90;INV;0109500;;;;0;;;0;0;;0;;;;;16;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P034309-016-433;ELEMENTO FILTRANTE P/ GASES IND.;"DFE TORIT-TEX CARTRIDGE (349 MM X 349 MM) OD X 660 MM L (13.74"" X 13.74"") OD X 26"" L)";RESALE_IMP;1;84213990;00;99;90;INV;0109500;;;;0;;;0;0;;0;;;;;9;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P034310-016-436;ELEMENTO FILTRANTE PARA GASES IND;"DFE ULTRA-WEB SB CARTRIDGE (13.74"" X 13.74"")OD X 26.00""L";RESALE_IMP;1;84213990;00;99;90;INV;0109500;;;;0;;;0;0;;0;;;;;14,4;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P034311-016-910;ELEMENTO FILTRANTE PARA GASES - ALTA TEMPERATURA;"DFE HIGH TEMP CARTRIDGE (13.74"" X 13.74"")OD X 26.00""L";RAW MATERIAL;1;84213990;99;99;90;INV;0109500;;;;0;;;0;0;;0;;;;;5,5;709.223999.310110.99.99.999.99999.99999;Intercompany Item
223;P041249-016-150;9636958 - Filtro respiro hidraulico;BREATHER;RESALE_IMP;1;84213990;00;99;90;INV;0109500;;;;0;;;0;0;;0;;;;;0,1;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P042176-016-192;84493218 - Elemento filtrante de ar;FILTER SAFETY;RESALE_IMP;1;84219999;00;99;90;INV;0103900;;;;0;;;0;0;;0;;;;;0,655;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P042317-016-233;86512479 ELEMENTO FILTRANTE DE AR;FILTER ELEMENT PRIMARY;RESALE_IMP;1;84219999;00;99;90;INV;0103900;;;;0;;;0;0;;0;;;;;9,86;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P100089-016-190;D36264  ADAPTADOR PARA INDICADOR FILT AR;ADAPTER;RESALE_IMP;1;74153900;00;99;90;INV;1006600;;;;0;;;0;0;;;;;;;0,015;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P100089-016-541;D36264 - ADAPTADOR PARA INDICADOR FILT A;ADAPTER;RAW MATERIAL;1;74153900;01;99;90;INV;0;;;;0;;;0;0;;0;;;;;0,03;709.223999.310110.99.99.999.99999.99999;Intercompany Item
223;P100091-016-700;TAMPAO PLASTICO PARA INDICADOR;CAP-HEX 1/8NPT NYLON BLACK;RAW MATERIAL;1;39269090;01;99;90;INV;0;;;;0;;;0;0;;0;;;;;0,005;709.223999.310110.99.99.999.99999.99999;Intercompany Item
223;P100596-016-915;PLUG PARA FILTRO HIDRAULICO;PLUG PIPE HEX;RAW MATERIAL;1;73079900;01;99;90;INV;1004600;;;;0;;;0;0;;0;;;;;0,007;709.223999.310110.99.99.999.99999.99999;Intercompany Item
223;P101290-016-700;REDUTOR DE BORRACHA;REDUCER HUMP, RUBBER;RESALE_IMP;1;40169990;00;99;90;INV;0100900;;;;0;;;0;0;;0;;;;;0,725;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P101292-016-700;REDUTOR DE BORRACHA 102X127MM;REDUCER HUMP, RUBBER;RESALE_IMP;1;40169990;00;99;90;INV;0100900;;;;0;;;0;0;;0;;;;;0,8;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P101293-016-700;REDUTOR DE BORRACHA 102X127MM;REDUCER HUMP. RUBBER;RESALE_IMP;1;40169990;00;99;90;INV;0100900;;;;0;;;0;0;;0;;;;;1,09;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P112611-016-700;2461800W1 REDUTOR DE BORRACHA;REDUCER HUMP, RUBBER;RESALE_IMP;1;40091100;00;99;90;INV;0108700;;;;0;;;0;0;;0;;;;;1,352;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P112671-016-140;FILTRO DE AR;AIR FILTER, PANEL VENTILATION;RESALE_IMP;1;84213990;00;99;90;INV;0109500;;;;0;;;0;0;;0;;;;;3,28;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P112803;VALVULA EVACUADORA DE BORRACHA;VALVE VACUATOR;RAW MATERIAL;1;40169990;01;99;90;INV;0;;;;0;;;0;0;;0;;;;;0,011;709.223999.310110.99.99.999.99999.99999;Intercompany Item
223;P112803 016700;87347229 - Valvula vacuadora de borracha;VACUATOR VALVE;RESALE_IMP;1;40169990;00;99;90;INV;0100900;;;;0;;;0;0;;0;;;;;0,074;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P114315-016-700;ADAPTADOR;REDUCER;RESALE_IMP;1;40169990;00;99;90;INV;0100900;;;;0;;;0;0;;0;;;;;1,995;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P114319-016-700;REDUTOR DE BORRACHA;STRAIGHT HUMP, RUBBER;RESALE_IMP;1;40169990;00;99;90;INV;0100900;;;;0;;;0;0;;0;;;;;0,78;709.372999.311111.99.99.999.99999.99999;Intercompany Item
223;P114931    207;ELEM. FILTR. AR - KWH0050;AIR FILTER, SAFETY;RESALE_IMP;1;84219999;00;99;90;INV;0103900;;;;0;;;0;0;;0;;;;;1,816;709.372999.311111.99.99.999.99999.99999;Intercompany Item
